,id,title,family_id,brand,origin,season,color,hexadecimal,top_type,adventurous,weather,print,style,fit,application,Nivel
16,e24837e6-70a2-4b89-910d-8b7a677d6306,Ihkate Pant sky,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND89,MAINSTREAM,9,black,000000,,3,warm_season,smooth,classic,straight,freetime,1
17,44af71a5-6a2e-41f6-9229-bdf877501aab,Luara Jacket biker ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND105,WHOLE_SALE,9,ecru,ECE9D6,,2,cold_season,smooth,street,straight,freetime,3
19,168bd926-fa20-4deb-b967-5731c592d64c,Knitted Pant regular,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND132,NO_MAINSTREAM,9,blue_dark,00008b,,2,warm_season,smooth,minimal,straight,work,1
20,44af71a5-6a2e-41f6-9229-bdf877501aab,Luara Jacket biker ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND105,WHOLE_SALE,9,brown_light,A57E62,,2,cold_season,smooth,street,straight,freetime,3
21,4812a988-7773-41a4-af73-58a654e99e9a,Sclora Jacket solid,35405a7d-7018-440b-9d16-76206ac3e224,BRAND66,MAINSTREAM,9,blue_dark,00008b,,2,cold_season,smooth,classic,straight,work,3
23,64334c2b-503b-463a-a82d-aca96e9e231d,Lurex Scarf gold ,b263ba41-adab-4a83-a3e0-2766522f5aec,BRAND143,OWN_PRODUCTION,9,grey_blue,768597,,2,warm_season,smooth,boho,,freetime,3
25,44615d8b-0696-4614-b751-084b15b653af,Viril Cardigan knit ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND55,MAINSTREAM,9,coral,E65A5B,cardigan,2,cold_season,smooth,casual,straight,work,2
26,168bd926-fa20-4deb-b967-5731c592d64c,Knitted Pant regular,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND132,NO_MAINSTREAM,9,beige,DFC8B2,,2,warm_season,smooth,minimal,straight,work,1
28,9330e0d0-aa81-4214-a259-b2177aef506a,Pully Jacket denim ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND76,MAINSTREAM,9,blue,000081,,2,warm_season,smooth,casual,straight,work,3
31,928bb15e-bf36-408a-948a-a7f70a303b0b,Likke Skirt denim ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND76,MAINSTREAM,9,coral,E65A5B,,3,warm_season,smooth,casual,straight,freetime,1
35,79139595-80b1-4151-be8c-c2b94b8b318b,Amanda Short woven ,9c5a3fee-dad0-444a-acb3-c059e2f3db20,BRAND132,NO_MAINSTREAM,9,black,000000,,2,warm,smooth,casual,straight,freetime,1
40,350b09b1-9156-468f-a7e8-b99cec0d6f6e,Cherry Pant plain T. L C. brown,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND15,WHOLE_SALE,9,black,000000,,2,cold_season,smooth,classic,straight,work,1
50,0306c734-daf2-408a-958d-f12024cce49a,Johnson Shirt bohck ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND97,OWN_PRODUCTION,9,black,000000,shirt,3,cold_season,animal_print,street,straight,freetime,2
53,0a2e1d54-741d-4dc9-a08b-ec97429d874c,Bynonina Cardigan pocket,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND76,MAINSTREAM,9,beige,DFC8B2,cardigan,2,cold_season,smooth,minimal,straight,freetime,2
54,e9795407-e7b5-4a66-972f-8a7afd4052d6,Odei Pant short,9c5a3fee-dad0-444a-acb3-c059e2f3db20,BRAND15,WHOLE_SALE,9,black,000000,,2,warm,smooth,boho,straight,freetime,1
55,44615d8b-0696-4614-b751-084b15b653af,Viril Cardigan knit ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND55,MAINSTREAM,9,brown_light,A57E62,cardigan,2,cold_season,smooth,casual,straight,work,2
58,2cb3725d-b5bc-4088-9611-3597eabef4f2,Ferial Top majolica,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND91,WHOLE_SALE,9,white,FFFFFF,tops,2,warm,smooth,boho,straight,freetime,2
59,2cb3725d-b5bc-4088-9611-3597eabef4f2,Ferial Top majolica,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND91,WHOLE_SALE,9,blue_dark,00008b,tops,2,warm,smooth,boho,straight,freetime,2
60,8895bdca-1b33-42a8-933f-4ea0378b29d4,Itta Pant denim ,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND84,WHOLE_SALE,9,blue_dark,00008b,,1,cold_season,smooth,classic,tight,work,1
64,333d16e3-d8b8-4c43-903e-f6f1489085fd,Bylola Pant bylikke ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND76,MAINSTREAM,9,yellow_light,fdf7b2,,2,warm_season,smooth,boho,tight,work,1
66,7e9e7149-ba93-4f7e-ad67-5108656e080d,Vmhenirebecca Skirt ankle ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND102,MAINSTREAM,9,wine,640b22,,2,warm,smooth,casual,straight,work,1
68,c7a078b8-04b6-4227-b92f-ad6754e3a039,Onltaho Jacket ny ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND119,MAINSTREAM,9,blue_dark,00008b,,2,cold,smooth,street,tight,freetime,3
69,abf3fe92-f502-4091-96bd-cd5823b24a70,Objlanie Shirt denim ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND101,NO_MAINSTREAM,9,blue,000081,shirt,2,cold_season,,street,straight,freetime,2
71,c6d226aa-6cd8-4db3-87a4-ac3e16ad6ca9,Onldonna Jacket otw ,74ba5e25-afd5-490b-a3a8-2175020c4487,BRAND119,MAINSTREAM,9,black,000000,,2,cold_season,smooth,minimal,straight,freetime,2
81,6549c1b1-989e-432a-bdc9-b603c438b310,Onleden Sweater knt,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND119,MAINSTREAM,9,yellow,FFFF00,sweaters,2,warm_season,smooth,classic,loose,work,2
110,076b6192-d198-43e3-9f62-f3474b9ca037,Shagnolo Shirt popelin ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND158,NO_MAINSTREAM,9,white,FFFFFF,shirt,1,cold_season,smooth,classic,tight,work,2
169,d45043bf-d5cb-4276-84ac-61bf6758df7d,Bamburg Scarf cahier ,b263ba41-adab-4a83-a3e0-2766522f5aec,BRAND157,OWN_PRODUCTION,9,yellow_light,fdf7b2,,2,warm_season,vertical_stripes,casual,,work,3
186,9675fef9-377f-4cf1-9e8e-1891d459dc0a,Vinaja Jacket short,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND55,MAINSTREAM,9,black,000000,,1,cold_season,smooth,classic,tight,working_girl,3
203,56a3b7f7-93ed-4879-9aa5-bbbbeee37741,Danta Pant crops ,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND76,MAINSTREAM,9,blue_dark,00008b,,3,warm_season,smooth,classic,straight,work,1
204,56a3b7f7-93ed-4879-9aa5-bbbbeee37741,Danta Pant crops ,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND76,MAINSTREAM,9,camel,C19A6B,,3,warm_season,smooth,classic,straight,work,1
219,908463c1-4137-4237-8cc4-1ad1c2717bc3,Caravana Jacket biker,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND39,MAINSTREAM,9,khaki,666633,,3,cold_season,smooth,street,tight,freetime,3
261,0cb6fead-d343-400c-bf5b-244c3bb1bd92,Saint Cardigan v-neck ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND152,NO_MAINSTREAM,9,black,000000,cardigan,2,cold_season,smooth,classic,tight,work,2
303,625c6d19-fa6c-4a20-bdf7-9cd220d5cdb5,Martin Cardigan knit ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND125,OWN_PRODUCTION,9,black,000000,cardigan,3,cold_season,smooth,boho,loose,work,2
312,c2f3753d-0159-4a17-9c51-a7033f08461e,Onllesly Cardigan knt,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND119,MAINSTREAM,9,green_light,BBE2AD,cardigan,3,cold_season,smooth,casual,straight,freetime,2
313,e35ab256-d1a0-4608-913a-012390cdd097,Dima Shirt basc ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND89,MAINSTREAM,9,white,FFFFFF,shirt,1,cold_season,smooth,classic,tight,working_girl,2
314,c2f3753d-0159-4a17-9c51-a7033f08461e,Onllesly Cardigan knt,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND119,MAINSTREAM,9,black,000000,cardigan,3,cold_season,smooth,casual,straight,freetime,2
316,6c8bca17-acd1-41fe-a458-01d502b307ff,Bohck Top bronte ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND97,OWN_PRODUCTION,9,black,000000,tops,3,warm_season,smooth,night,straight,night,2
318,80029818-7872-41c2-822e-91f4706d7c49,Viprime Dress noos ,ba89fcc3-bb1b-42af-a754-2d9f639e43ab,BRAND55,MAINSTREAM,9,blue_klein,0000FF,,2,warm,smooth,classic,loose,freetime,1
319,756f6fe9-cf40-487f-9cfc-bc8840e80ef2,Ultra Parka weight ,35405a7d-7018-440b-9d16-76206ac3e224,BRAND151,NO_MAINSTREAM,9,blue_dark,00008b,,2,cold_season,smooth,classic,tight,freetime,3
320,e1ab316b-5211-41ac-992a-06192849b721,Vmultramalou Jacket coated ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND102,MAINSTREAM,9,black,000000,,2,cold_season,smooth,street,tight,freetime,3
321,45a82b9d-091a-4fd3-ac1b-aaac3a10224b,Amapola Jacket print ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND60,WHOLE_SALE,9,green_dark,164A0A,,3,cold_season,retro,classic,straight,work,3
322,b15bdc26-38b3-47e3-a9c9-8708f913484a,Sccembre Shirt blouse ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND66,MAINSTREAM,9,khaki,666633,blouse,1,warm_season,smooth,classic,straight,work,2
323,639f09b4-05a9-43d7-94df-ff30eaf79948,Erika Jean fashion ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND89,MAINSTREAM,9,blue_dark,00008b,,2,cold_season,smooth,classic,tight,work,1
324,80029818-7872-41c2-822e-91f4706d7c49,Viprime Dress noos ,ba89fcc3-bb1b-42af-a754-2d9f639e43ab,BRAND55,MAINSTREAM,9,blue_light,87CEFA,,2,warm,smooth,classic,loose,freetime,1
325,a0c16ce6-3e3d-432c-b0fb-f07cf7bb0533,Vmpleasent Sweater oneck ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND102,MAINSTREAM,9,blue,000081,sweaters,2,cold_season,horizontal_stripes,casual,straight,freetime,2
326,7d3c7c3c-f578-4df6-83e4-56a9d0e1106d,Odelin Jacket indoor ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND16,NO_MAINSTREAM,9,pistachio,86BE2D,,3,warm_season,smooth,street,straight,freetime,3
327,7d3c7c3c-f578-4df6-83e4-56a9d0e1106d,Odelin Jacket indoor ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND16,NO_MAINSTREAM,9,pink,FFC0CB,,3,warm_season,smooth,street,straight,freetime,3
328,3b0df397-10cf-4ab3-82b1-79452bec6fcf,Onlnewcornelia Parka spring ,35405a7d-7018-440b-9d16-76206ac3e224,BRAND119,MAINSTREAM,9,khaki,666633,,2,cold_season,smooth,casual,loose,freetime,3
329,178db810-51ab-490b-9a47-70283bc7da6a,Ihvera Tshirt amber ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND89,MAINSTREAM,9,blue_dark,00008b,blouse,2,warm,floral,classic,loose,work,2
330,0ded42bc-23e6-40ef-b893-eb482cbd1dd4,Lolla Dress film ,ba89fcc3-bb1b-42af-a754-2d9f639e43ab,BRAND31,OWN_PRODUCTION,9,blue_dark,00008b,,3,warm_season,floral,boho,loose,freetime,1
331,28f4d409-a955-47ad-bf7d-d28e20c82c3f,Lolus Jeans miss ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND45,WHOLE_SALE,9,grey_dark,5F5E5E,,2,warm_season,smooth,street,tight,freetime,1
332,32621434-cddd-4699-a44f-c8b882052ff1,Calie Jeans anna ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND45,WHOLE_SALE,9,black,000000,,1,cold_season,smooth,street,tight,work,1
333,229e05ed-b5c6-4d28-928c-7b1d463deddb,Onado Skirt denim ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND106,WHOLE_SALE,9,taupe,9A8176,,2,warm_season,smooth,casual,tight,freetime,1
334,c11e2bfb-988b-4c0d-b865-76c9884d4529,Mademoiselle Tshirt emijo ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND58,WHOLE_SALE,9,brown,462C0E,t-shirts,2,warm,smooth,casual,straight,freetime,2
335,c8e6aaa9-fa99-4619-b6ac-e5058950ff82,Eloha Tshirt desires ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND150,MAINSTREAM,9,camel,C19A6B,t-shirts,1,warm,smooth,street,tight,freetime,2
336,1a7f5799-667e-43b3-b50f-f9aeaced739a,Lena Jacket colors ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND106,WHOLE_SALE,9,blue_dark,00008b,,2,warm_season,smooth,casual,tight,freetime,3
337,5e8526dc-a6be-423f-8321-cd250d82dc19,Libert̩ Tshirt colors ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND58,WHOLE_SALE,9,white,FFFFFF,t-shirts,2,warm,smooth,casual,straight,freetime,2
338,04187d66-66b7-4801-830f-89617ac3c9ad,Belle Top bobble ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND134,MAINSTREAM,9,blue_dark,00008b,sweaters,2,cold,smooth,street,loose,work,2
339,b4dabd34-9378-4f8f-8323-a9bf9654f265,Realer Jacket print ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND60,WHOLE_SALE,9,khaki,666633,,3,warm_season,retro,boho,loose,freetime,3
340,61836ba7-f5ba-4bde-9d04-89afcf3c6f23,Visunset Cardigan stripes ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND55,MAINSTREAM,9,ecru,ECE9D6,cardigan,3,cold_season,horizontal_stripes,boho,straight,freetime,2
341,bd6567d1-cee5-4f9e-b469-d30bb2870382,Buttons Skirt midi ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND60,WHOLE_SALE,9,green_dark,164A0A,,3,warm_season,smooth,boho,straight,freetime,1
343,8ab787f1-0790-4bdd-9eec-8dfdaf42c255,Olive Pant bubble,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND49,WHOLE_SALE,9,brown_light,A57E62,,2,warm_season,miniprint,classic,tight,work,1
344,dc3c23ee-1ef1-46ef-a40c-2eea8dc2380d,Loden Shirt print ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND55,MAINSTREAM,9,green_light,BBE2AD,shirt,2,cold_season,animal_print,street,straight,work,2
345,88fb3d34-9713-43bc-9dcc-3bc765a748f2,Lima Skirt tie ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND15,WHOLE_SALE,9,blue_dark,00008b,,2,warm,smooth,boho,loose,freetime,1
346,94d6f511-0ad7-47c7-b183-56fd926cd728,Carwespa Jacket look ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND39,MAINSTREAM,9,black,000000,,2,warm,smooth,casual,straight,freetime,3
347,88792336-16a5-4fa0-b9d5-0796e1fd5335,Vmkeepme Shirt soft ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND102,MAINSTREAM,9,beige,DFC8B2,shirt,2,cold_season,smooth,classic,straight,work,2
348,88792336-16a5-4fa0-b9d5-0796e1fd5335,Vmkeepme Shirt soft ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND102,MAINSTREAM,9,blue_dark,00008b,shirt,2,cold_season,smooth,classic,straight,work,2
349,4a92614d-06cf-48d9-98e3-fe22e24170e0,Nmsula Jumpsuit pearl ,88ee8b83-a7fe-4c00-8f12-621b209012fd,BRAND40,NO_MAINSTREAM,9,ecru,ECE9D6,,3,warm_season,other,street,oversize,freetime,1
350,9bc83d14-5e09-43e9-b1ed-1ef580ad2686,Ihtiwana Tshirt text ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND89,MAINSTREAM,9,white,FFFFFF,t-shirts,2,warm,smooth,casual,straight,freetime,2
351,a912aa16-5738-4fe8-920d-b5d7878d843f,Tadney Shirt mix ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND131,MAINSTREAM,9,blue_light,87CEFA,blouse,2,cold_season,floral,classic,straight,work,2
352,3927b576-dfda-49f9-966b-3ee29adb49a2,Saint Top singlet,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND152,NO_MAINSTREAM,9,sand,ebd6a7,tops,2,warm,smooth,classic,straight,night,2
353,eae550ee-d3f7-48d4-9390-310b7950cb73,Onlkenya Jeans sweet ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND119,MAINSTREAM,9,blue_dark,00008b,,2,warm_season,smooth,boho,straight,work,1
354,c7301b0f-31b7-44df-89b4-a766afdc791e,Panther Skirt closet ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND167,OWN_PRODUCTION,9,indigo,0053a5,,3,warm,printed,boho,straight,freetime,1
355,087cb5bc-733c-4c94-8a60-1efa412ee8f7,Tropic Jacket nude ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND133,OWN_PRODUCTION,9,black,000000,,2,warm,sheets,boho,loose,freetime,3
356,2506d714-c454-43a0-be14-506b451b6847,Tropic Top nude ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND133,OWN_PRODUCTION,9,black,000000,tops,2,warm,sheets,boho,straight,work,2
357,189a066a-d643-42f1-927a-1c1709a8dc01,Luton Foulard closet,b263ba41-adab-4a83-a3e0-2766522f5aec,BRAND167,OWN_PRODUCTION,9,sand,ebd6a7,,2,warm_season,geometric,boho,,freetime,3
358,7df5c131-4c17-47da-85b1-38e138226e04,Ihgusto Jacket denim ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND89,MAINSTREAM,9,white,FFFFFF,,1,warm,smooth,classic,straight,freetime,3
359,87ac7444-ae50-40e7-890b-0ac52ae9b63c,Fqjone Sweater block ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND131,MAINSTREAM,9,blue_dark,00008b,sweaters,2,cold,horizontal_stripes,classic,loose,work,2
360,735761e6-8f79-43c9-8279-a7af97fe00eb,Vilucy Tshirt fav ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND55,MAINSTREAM,9,white,FFFFFF,tops,2,warm_season,smooth,classic,straight,freetime,2
361,928bb15e-bf36-408a-948a-a7f70a303b0b,Likke Skirt denim ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND76,MAINSTREAM,9,blue_dark,00008b,,3,warm_season,smooth,casual,straight,freetime,1
362,bd7bece9-681d-496b-998a-41d510d48ea5,Bydala Coat button ,74ba5e25-afd5-490b-a3a8-2175020c4487,BRAND76,MAINSTREAM,9,camel,C19A6B,,2,cold_season,smooth,minimal,straight,work,2
363,928bb15e-bf36-408a-948a-a7f70a303b0b,Likke Skirt denim ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND76,MAINSTREAM,9,white,FFFFFF,,3,warm_season,smooth,casual,straight,freetime,1
364,827849ac-e8f5-42c0-9f01-afc8b40874d3,Constella Pant closet ,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND167,OWN_PRODUCTION,9,blue_dark,00008b,,3,warm,printed,boho,loose,freetime,1
365,928bb15e-bf36-408a-948a-a7f70a303b0b,Likke Skirt denim ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND76,MAINSTREAM,9,black,000000,,3,warm_season,smooth,casual,straight,freetime,1
366,2fcee9c5-0173-40f4-94a5-49ec6d46449e,Bess Sweater knit ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND166,NO_MAINSTREAM,9,mustand,DEB24C,sweaters,2,cold,smooth,casual,loose,work,2
367,9fb7646a-16ee-4d79-9396-456616369eda,Bibla Top closet,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND167,OWN_PRODUCTION,9,black,000000,tops,2,warm,animal_print,boho,tight,freetime,2
368,72e7245e-5d1f-44b0-bb90-6484df372e8a,Billia Jacket closet,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND167,OWN_PRODUCTION,9,black,000000,,2,warm,animal_print,classic,straight,freetime,3
369,a5684374-610a-4f18-b720-1ad863199ef9,Desflorence Pant cotton,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND150,MAINSTREAM,9,white,FFFFFF,,3,warm_season,smooth,minimal,straight,work,1
370,4812a988-7773-41a4-af73-58a654e99e9a,Sclora Jacket solid,35405a7d-7018-440b-9d16-76206ac3e224,BRAND66,MAINSTREAM,9,beige,DFC8B2,,2,cold_season,smooth,classic,straight,work,3
371,bd3d7995-2835-4e19-ac3d-5c4954d19337,Desfiona Pant squared ,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND150,MAINSTREAM,9,brown_light,A57E62,,3,warm_season,checked,classic,loose,work,1
372,6b5d47cc-24e5-4047-aa80-e116f6c32e8d,Desfenna Sweater stripes ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND150,MAINSTREAM,9,brown_light,A57E62,sweaters,2,warm_season,horizontal_stripes,casual,loose,work,2
373,7bb42fbf-7ba1-45d6-87db-daead3af91b2,Ihtulle Shirt stripes ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND89,MAINSTREAM,9,blue_light,87CEFA,shirt,2,cold_season,vertical_stripes,boho,straight,work,2
374,7bb42fbf-7ba1-45d6-87db-daead3af91b2,Ihtulle Shirt stripes ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND89,MAINSTREAM,9,green_light,BBE2AD,shirt,2,cold_season,vertical_stripes,boho,straight,work,2
375,51d27755-5f36-443a-a500-760f30a99122,Will Jacket solid ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND35,MAINSTREAM,9,coral,E65A5B,,2,warm_season,smooth,street,straight,work,3
376,7618f207-57dc-4ecd-8423-e1375e8134e1,Columbine Tshirt knit ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND71,NO_MAINSTREAM,9,black,000000,t-shirts,2,warm,smooth,casual,straight,work,2
377,7618f207-57dc-4ecd-8423-e1375e8134e1,Columbine Tshirt knit ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND71,NO_MAINSTREAM,9,ecru,ECE9D6,t-shirts,2,warm,smooth,casual,straight,work,2
378,f8abdd54-68a4-4c7c-a9ca-73390630c546,Fashion T-shirt collection ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND9,NO_MAINSTREAM,9,lemon,FFD200,t-shirts,2,warm,horizontal_stripes,street,loose,work,2
379,e2fb574b-0b89-43f0-bca7-33cbe05bc66c,Finnny Sweater ranglan ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND83,MAINSTREAM,9,brown_light,A57E62,sweaters,2,warm_season,smooth,classic,straight,work,2
380,57d2bfc3-b75c-4761-912f-5583857e9aeb,Harlowb Sweater striped ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND112,NO_MAINSTREAM,9,blue_dark,00008b,sweaters,2,cold,horizontal_stripes,classic,loose,work,2
381,ccac13f5-fdc0-4319-bf1e-b8e5a33a0577,Mex Jeans printed ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND165,WHOLE_SALE,9,ecru,ECE9D6,,3,cold_season,miniprint,street,tight,work,1
382,2c9be4d8-f26a-4880-b47f-0d8e6c83f5e9,Karl Jeans toxik ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND120,WHOLE_SALE,9,blue_dark,00008b,,3,cold_season,smooth,street,tight,freetime,1
383,e40d1d11-e52e-4cb3-9280-22b5fdfd8dd9,Toxico Jeans jungle ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND120,WHOLE_SALE,9,brown_light,A57E62,,4,cold_season,printed,boho,tight,freetime,1
384,7ef82697-440b-4bfd-bf70-e073961e4d40,Laura Jacket soft ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND105,WHOLE_SALE,9,khaki,666633,,2,cold_season,smooth,street,straight,work,3
385,2845a931-d52a-434e-a47c-2e4067c27c0a,Toxiko Jeans colors ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND165,WHOLE_SALE,9,taupe,9A8176,,2,cold_season,smooth,casual,tight,freetime,1
386,17e8dcce-0852-4793-b00f-932ec6f32938,Fqyr Jumpsuit solid ,88ee8b83-a7fe-4c00-8f12-621b209012fd,BRAND131,MAINSTREAM,9,blue_dark,00008b,,3,warm,smooth,street,loose,work,1
387,44af71a5-6a2e-41f6-9229-bdf877501aab,Luara Jacket biker ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND105,WHOLE_SALE,9,black,000000,,2,cold_season,smooth,street,straight,freetime,3
388,ca856776-a5bc-49c5-af9f-064e2e50d4a8,Martb Tshirt sparkle ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND112,NO_MAINSTREAM,9,pale_pink,fac4db,t-shirts,3,warm,smooth,casual,straight,work,2
